heuristic cost: 0.0010730115351937411, actual cost: 0.0040999999999999995
heuristic cost: 0.004582802875843741, actual cost: 0.005747222222222223
heuristic cost: 0.0024707827340576657, actual cost: 0.007191666666666666
heuristic cost: 0.015939556635565972, actual cost: 0.015954545454545457
heuristic cost: 0.0008212335034794015, actual cost: 0.0036999999999999993
heuristic cost: 0.0042932551256116515, actual cost: 0.022733333333333335
heuristic cost: 0.002401355122922295, actual cost: 0.0035250000000000004
heuristic cost: 0.002470514068260957, actual cost: 0.01
heuristic cost: 0.001023579879816876, actual cost: 0.003666666666666666
heuristic cost: 0.0025146148286124743, actual cost: 0.0036
heuristic cost: 0.01776291330599481, actual cost: 0.06732500000000002
heuristic cost: 0.0022382081148717165, actual cost: 0.0030125
heuristic cost: 0.0018244453305605445, actual cost: 0.00211111111111111
heuristic cost: 0.005004513690337812, actual cost: 0.0211
heuristic cost: 0.0027771777128737314, actual cost: 0.004690277777777778
heuristic cost: 0.003334669365080899, actual cost: 0.012466666666666664
heuristic cost: 0.005756430811987937, actual cost: 0.02403333333333333
heuristic cost: 0.0018627457259074076, actual cost: 0.08332795454545462
heuristic cost: 0.017040148705938597, actual cost: 0.08720000000000004
heuristic cost: 0.09153503347803445, actual cost: 0.17985972222222227
heuristic cost: 0.006665776502207585, actual cost: 0.0305625
heuristic cost: 0.07178222464100045, actual cost: 0.0726090909090909
heuristic cost: 0.0025009476038679044, actual cost: 0.0035250000000000004
heuristic cost: 0.004974674737636151, actual cost: 0.006044444444444444
heuristic cost: 0.006500563249355805, actual cost: 0.009012499999999998
heuristic cost: 0.0017137405329692354, actual cost: 0.0022875
heuristic cost: 0.0011249999297294503, actual cost: 0.004200000000000001
heuristic cost: 0.001301936530270452, actual cost: 0.0018
heuristic cost: 0.008017887734702484, actual cost: 0.012355555555555557
heuristic cost: 0.0025532527990676994, actual cost: 0.0149
heuristic cost: 0.0006759976253350124, actual cost: 0.002666666666666667
heuristic cost: 0.0014755446908946619, actual cost: 0.0030166666666666666
heuristic cost: 0.0014906632088088516, actual cost: 0.006633333333333333
heuristic cost: 0.002906720238121053, actual cost: 0.003666666666666666
heuristic cost: 0.0031849720785909986, actual cost: 0.004324999999999999
heuristic cost: 0.0008480785070541693, actual cost: 0.0019625
heuristic cost: 0.003077274719444266, actual cost: 0.007670833333333333
heuristic cost: 0.0004916120320662088, actual cost: 0.0006625000000000001
heuristic cost: 0.006220744077867361, actual cost: 0.009966666666666667
heuristic cost: 0.004558717119620454, actual cost: 0.0171625
heuristic cost: 0.001926514061926907, actual cost: 0.008133333333333334
heuristic cost: 0.006336472036163739, actual cost: 0.03013333333333333
heuristic cost: 0.0003239080974161626, actual cost: 0.013711111111111108
heuristic cost: 0.0009519252619368023, actual cost: 0.0026625
heuristic cost: 0.001433806528845311, actual cost: 0.005533333333333333
heuristic cost: 0.00666581683621202, actual cost: 0.012031818181818185
heuristic cost: 0.02231530818185057, actual cost: 0.03136666666666665
heuristic cost: 0.001480394381241391, actual cost: 0.0058625
heuristic cost: 0.001460704032430069, actual cost: 0.010566666666666669
heuristic cost: 0.001656594900120737, actual cost: 0.004508333333333333
heuristic cost: 0.004229557463791865, actual cost: 0.005762499999999999
heuristic cost: 0.004345180473089438, actual cost: 0.013891666666666667
heuristic cost: 0.00023429138900213944, actual cost: 0.0011000000000000003
heuristic cost: 0.002029263204229785, actual cost: 0.006666666666666666
heuristic cost: 0.0016826003073822336, actual cost: 0.0062
heuristic cost: 0.001578662132174016, actual cost: 0.0024875
heuristic cost: 0.010050385382974212, actual cost: 0.028066666666666663
heuristic cost: 0.0035441121909868508, actual cost: 0.0069
heuristic cost: 0.08443488847342222, actual cost: 0.14865833333333317
heuristic cost: 0.0014737174321137324, actual cost: 0.0053166666666666675
heuristic cost: 0.0020340108190338114, actual cost: 0.003036363636363636
heuristic cost: 0.0037078153698731934, actual cost: 0.016166666666666666
heuristic cost: 0.0020797987727965207, actual cost: 0.006620833333333334
heuristic cost: 0.0039053167630938137, actual cost: 0.008666666666666666
heuristic cost: 0.0007435773140283892, actual cost: 0.0009965909090909092
heuristic cost: 0.002931821396898081, actual cost: 0.008512500000000001
heuristic cost: 0.019838476988758652, actual cost: 0.022372727272727273
heuristic cost: 0.0015569862431801045, actual cost: 0.017358333333333333
heuristic cost: 0.0014422655950883053, actual cost: 0.0017625
heuristic cost: 0.002079580090776129, actual cost: 0.0026499999999999996
heuristic cost: 0.005397045968868388, actual cost: 0.0077232142857142855
heuristic cost: 0.002599225660432164, actual cost: 0.005283333333333334
heuristic cost: 0.0013491725024730146, actual cost: 0.005833333333333334
heuristic cost: 0.039483658693648345, actual cost: 0.17407722222222227
heuristic cost: 0.0011658333670769192, actual cost: 0.0042
heuristic cost: 0.01740814750764707, actual cost: 0.0389263888888889
heuristic cost: 0.0014707391860226944, actual cost: 0.006779166666666669
heuristic cost: 0.003975120039196523, actual cost: 0.007216666666666666
heuristic cost: 0.010457498943185473, actual cost: 0.017708333333333333
heuristic cost: 0.005346208755534303, actual cost: 0.006903333333333333
heuristic cost: 0.010147037211248712, actual cost: 0.046700000000000005
heuristic cost: 0.0017403423338060167, actual cost: 0.003270833333333334
heuristic cost: 0.0031600871987141153, actual cost: 0.004055555555555555
heuristic cost: 0.01266616722608868, actual cost: 0.012763636363636366
heuristic cost: 0.0035138669196859112, actual cost: 0.010570833333333342
heuristic cost: 0.009015903400397478, actual cost: 0.03147777777777778
heuristic cost: 0.00947175907224138, actual cost: 0.02587777777777778
heuristic cost: 0.009143491323018471, actual cost: 0.01695909090909091
heuristic cost: 0.00417117651074348, actual cost: 0.00715
heuristic cost: 0.004310291443453902, actual cost: 0.006158333333333333
heuristic cost: 0.005971170706138097, actual cost: 0.030850000000000002
heuristic cost: 0.004504831699392738, actual cost: 0.0194
heuristic cost: 0.004291717241928637, actual cost: 0.006249999999999999
heuristic cost: 0.007173408187597014, actual cost: 0.009722222222222224
heuristic cost: 0.001778842220603891, actual cost: 0.0025125
heuristic cost: 0.02472260201012346, actual cost: 0.02558818181818182
heuristic cost: 0.0021170846403286065, actual cost: 0.0028374999999999997
heuristic cost: 0.0007150956155935015, actual cost: 0.00105
heuristic cost: 0.0014507896590545087, actual cost: 0.002679166666666667
heuristic cost: 0.0032323224322556264, actual cost: 0.01281111111111111
